,monocyte,plasma cell,fibroblast,macrophage
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
GOBP_CELL_MORPHOGENESIS,0.7288481141692151,0.5535168195718655,0.7043832823649337,0.49031600407747195
GOBP_CYTOKINESIS,0.7724867724867724,0.6349206349206349,0.7619047619047619,0.6613756613756614
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,0.8888888888888888,0.8174603174603174,0.873015873015873,0.7142857142857143
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS,1.0,1.0,0.8333333333333334,0.6666666666666666
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,0.9285714285714286,0.7857142857142857,0.8928571428571429,0.625
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS,1.0,1.0,1.0,0.8
GOBP_MITOCHONDRIAL_RNA_PROCESSING,0.9545454545454546,0.8181818181818182,0.9090909090909091,0.5454545454545454
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING,1.0,0.8571428571428571,1.0,0.5714285714285714
GOBP_RNA_5_END_PROCESSING,0.868421052631579,0.5789473684210527,0.7894736842105263,0.47368421052631576
GOBP_RRNA_5_END_PROCESSING,1.0,0.6,0.8,0.2
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY,1.0,0.8571428571428571,1.0,0.8571428571428571
GOBP_RESPONSE_TO_ACID_CHEMICAL,0.7552447552447552,0.6013986013986014,0.7552447552447552,0.5034965034965035
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.45454545454545453
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT,1.0,0.6363636363636364,0.7272727272727273,0.5454545454545454
GOBP_SKELETAL_SYSTEM_DEVELOPMENT,0.6120527306967984,0.4670433145009416,0.6252354048964218,0.3804143126177024
GOBP_CARTILAGE_CONDENSATION,0.47368421052631576,0.42105263157894735,0.5263157894736842,0.3157894736842105
GOBP_OSSIFICATION,0.6438053097345132,0.497787610619469,0.6526548672566371,0.42920353982300885
GOBP_NEUROTRANSMITTER_UPTAKE,0.5555555555555556,0.4,0.5555555555555556,0.3333333333333333
GOBP_ACTION_POTENTIAL,0.6198830409356725,0.4444444444444444,0.6140350877192983,0.34502923976608185
GOBP_RNA_METHYLATION,0.8414634146341463,0.6829268292682927,0.8292682926829268,0.5
GOBP_PSEUDOURIDINE_SYNTHESIS,0.9444444444444444,0.7222222222222222,0.9444444444444444,0.2777777777777778
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,0.5771428571428572,0.35428571428571426,0.52,0.30857142857142855
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT,0.6842105263157895,0.5087719298245614,0.7017543859649122,0.47368421052631576
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.4444444444444444
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH,0.5833333333333334,0.5,0.6666666666666666,0.4166666666666667
GOBP_LUTEINIZATION,0.6666666666666666,0.4166666666666667,0.75,0.3333333333333333
GOBP_LUTEOLYSIS,1.0,0.8333333333333334,1.0,0.5
GOBP_OOCYTE_MATURATION,0.5428571428571428,0.34285714285714286,0.42857142857142855,0.3142857142857143
GOBP_REGULATION_OF_CELL_GROWTH,0.7722772277227723,0.5965346534653465,0.7301980198019802,0.49504950495049505
GOBP_FATTY_ACID_ALPHA_OXIDATION,1.0,0.75,1.0,1.0
GOBP_RESPONSE_TO_PROTOZOAN,0.7741935483870968,0.41935483870967744,0.5161290322580645,0.3870967741935484
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS,0.5277777777777778,0.3333333333333333,0.6944444444444444,0.3611111111111111
GOBP_VASCULOGENESIS,0.75,0.5,0.7976190476190477,0.47619047619047616
GOBP_GANGLIOSIDE_METABOLIC_PROCESS,0.75,0.7142857142857143,0.75,0.5357142857142857
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.5882352941176471
GOBP_MICROTUBULE_BUNDLE_FORMATION,0.6106870229007634,0.37404580152671757,0.6030534351145038,0.32061068702290074
GOBP_OSTEOBLAST_DIFFERENTIATION,0.6091954022988506,0.4942528735632184,0.632183908045977,0.4482758620689655
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT,0.5757575757575758,0.4090909090909091,0.5757575757575758,0.4090909090909091
GOBP_METANEPHROS_DEVELOPMENT,0.45652173913043476,0.3804347826086957,0.6086956521739131,0.31521739130434784
GOBP_TEMPERATURE_HOMEOSTASIS,0.7717391304347826,0.6195652173913043,0.7608695652173914,0.5434782608695652
GOBP_FEVER_GENERATION,0.6363636363636364,0.09090909090909091,0.5454545454545454,0.18181818181818182
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.6553784860557769,0.5099601593625498,0.6633466135458167,0.4960159362549801
GOBP_ACROSOME_ASSEMBLY,0.5333333333333333,0.4,0.43333333333333335,0.26666666666666666
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,0.8073394495412844,0.6055045871559633,0.7889908256880734,0.5779816513761468
GOBP_INTRACELLULAR_GLUCOSE_HOMEOSTASIS,0.7005988023952096,0.592814371257485,0.688622754491018,0.49700598802395207
GOBP_TRNA_5_LEADER_REMOVAL,0.7692307692307693,0.38461538461538464,0.6153846153846154,0.3076923076923077
GOBP_HISTAMINE_METABOLIC_PROCESS,0.5,0.3333333333333333,0.5,0.3333333333333333
GOBP_GASTRIC_ACID_SECRETION,0.5384615384615384,0.3076923076923077,0.6153846153846154,0.23076923076923078
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT,0.8034825870646766,0.6268656716417911,0.7910447761194029,0.5398009950248757
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.5357142857142857
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER,0.6183206106870229,0.46564885496183206,0.6564885496183206,0.4351145038167939
GOBP_ENDODERM_FORMATION,0.6333333333333333,0.4166666666666667,0.6833333333333333,0.48333333333333334
GOBP_CELL_FATE_SPECIFICATION,0.4727272727272727,0.35454545454545455,0.5,0.33636363636363636
GOBP_CELL_FATE_DETERMINATION,0.3333333333333333,0.23809523809523808,0.5476190476190477,0.30952380952380953
GOBP_MESODERMAL_CELL_FATE_COMMITMENT,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.2222222222222222
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT,0.5333333333333333,0.4,0.6666666666666666,0.4
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION,0.125,0.0,0.375,0.0
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666
GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX,1.0,0.8666666666666667,0.9333333333333333,0.7333333333333333
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,0.7936507936507936,0.5873015873015873,0.7301587301587301,0.4444444444444444
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION,0.54,0.38,0.64,0.38
GOBP_SOMITOGENESIS,0.5076923076923077,0.4461538461538462,0.5538461538461539,0.38461538461538464
GOBP_SOMITE_SPECIFICATION,0.2,0.4,0.8,0.4
GOBP_ORGAN_INDUCTION,0.45454545454545453,0.3181818181818182,0.5909090909090909,0.3181818181818182
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,0.6231884057971014,0.45410628019323673,0.6666666666666666,0.43478260869565216
GOBP_NEURON_MIGRATION,0.6739130434782609,0.5,0.6630434782608695,0.42391304347826086
GOBP_MEMBRANE_RAFT_ASSEMBLY,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.5833333333333334
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY,0.6875,0.5,0.625,0.5625
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION,0.7647058823529411,0.6470588235294118,0.7058823529411765,0.6470588235294118
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION,0.7931034482758621,0.5862068965517241,0.5517241379310345,0.5862068965517241
GOBP_CELL_ACTIVATION,0.7309058614564832,0.5612788632326821,0.6474245115452931,0.49644760213143874
GOBP_LEUKOCYTE_HOMEOSTASIS,0.7798165137614679,0.6605504587155964,0.6880733944954128,0.5504587155963303
GOBP_PLASMA_MEMBRANE_REPAIR,0.8620689655172413,0.5517241379310345,0.8275862068965517,0.4827586206896552
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.75
GOBP_NEUTROPHIL_HOMEOSTASIS,0.75,0.65,0.65,0.5
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714
GOBP_B_CELL_HOMEOSTASIS,0.8823529411764706,0.7352941176470589,0.7941176470588235,0.6764705882352942
GOBP_B_CELL_APOPTOTIC_PROCESS,0.8076923076923077,0.5769230769230769,0.6538461538461539,0.6153846153846154
GOBP_NATURAL_KILLER_CELL_PROLIFERATION,0.8,0.6666666666666666,0.5333333333333333,0.6
GOBP_CYTOKINE_PRODUCTION,0.6824324324324325,0.5056306306306306,0.5822072072072072,0.4358108108108108
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,0.5662337662337662,0.44155844155844154,0.5012987012987012,0.35844155844155845
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,0.7440476190476191,0.5337301587301587,0.6071428571428571,0.49603174603174605
GOBP_SEROTONIN_SECRETION,0.5,0.5,0.5,0.3
GOBP_HISTAMINE_SECRETION,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.35714285714285715
GOBP_MESONEPHROS_DEVELOPMENT,0.5619047619047619,0.4857142857142857,0.6761904761904762,0.4
GOBP_BLASTOCYST_DEVELOPMENT,0.8290598290598291,0.6068376068376068,0.7435897435897436,0.48717948717948717
