# macrophage,monocyte,stromal cell,smooth muscle cell,dendritic cell,plasma cell,erythroid lineage cell,T cell,endothelial cell,fibroblast,epithelial cell,mast cell,neutrophil,myeloid cell,renal intercalated cell,B cell,alternatively activated macrophage,neuron,mesothelial cell,basal cell,enterocyte,professional antigen presenting cell,mesenchymal stem cell,endocrine cell,erythroid progenitor cell,cord blood hematopoietic stem cell,primordial germ cell,oligodendrocyte,astrocyte,goblet cell,stratified epithelial cell,kidney loop of Henle epithelial cell,ventricular cardiac muscle cell,embryonic stem cell,epithelial cell of proximal tubule,epithelial cell of exocrine pancreas,pulmonary alveolar type 2 cell,chondrocyte,cell of skeletal muscle,acinar cell,peptic cell,thyroid follicular cell,Sertoli cell,inflammatory cell
3.610633583400413293e-03,1.709707286755046685e-02,5.739253741669947395e-03,7.411300744695759057e-03,9.777477913654242236e-03,1.018825327231798195e-02,1.450369689929764672e-02,8.972753016946999338e-03,3.480559737387034502e-03,4.833476507653200471e-03,2.220446049250313081e-16,2.409466679543370571e-02,1.404246661833463694e-02,4.546845233985219448e-02,1.957747838076040470e-02,1.747081410276840607e-02,2.993724049247759034e-02,1.107704955491328747e-02,2.926790325723593877e-02,1.782109161538369957e-02,5.706342749041581897e-03,3.594555027958989957e-02,8.414754229267407126e-03,1.773222997429002579e-02,2.545047126781307956e-02,3.459681564592353986e-02,1.793862285805514212e-02,2.486918980635222098e-02,2.402767343460909810e-02,1.302771736050167828e-02,1.577608384137507702e-02,1.449159457213422542e-02,3.912694022847285069e-02,7.060764663755436654e-02,2.940936715400854773e-02,4.277156094986733770e-02,2.046014361521542035e-02,2.735539325976266145e-02,3.126480806230025333e-02,2.546120986340361103e-02,3.056803607278735235e-02,2.995528946766834455e-02,3.317558087731786731e-02,1.181821059643469729e-01
2.245398439012158409e-02,1.125234603694880153e-02,1.838691804486958237e-02,1.898449633670784564e-02,1.297705075713273537e-02,1.021142291710952499e-02,1.692435802090264119e-02,1.357153729292814859e-02,1.951730650970673331e-02,2.310636783787867188e-02,2.409466679543370571e-02,1.554312234475219157e-15,1.376958370958214495e-02,1.712136112312290237e-02,1.123815705563890877e-02,1.064778748572814404e-02,1.127587261493034898e-02,2.247547414488626494e-02,1.444347739065576786e-02,1.241275832541710589e-02,1.576235120807933932e-02,1.572716257544193308e-02,1.977358217809921381e-02,1.652063071808940187e-02,1.378365424329242028e-02,1.541124085642664454e-02,2.275520815418274889e-02,1.955091649657747510e-02,2.046603444275996164e-02,1.036858753764580143e-02,1.424023034241483909e-02,1.375222697268585481e-02,2.138987119445867613e-02,4.116312906902508395e-02,1.945224591001348813e-02,1.850031014424680098e-02,1.157731108411530485e-02,1.315666503771162343e-02,2.252402440612411016e-02,1.858924878493151134e-02,1.401450464120979067e-02,1.308411965927924747e-02,2.243310458083702663e-02,7.633712774422052316e-02
9.448015160336442619e-03,5.621652075348260169e-03,8.811453874973618206e-03,7.269337820216770218e-03,6.527012467576365218e-03,8.086216657591349666e-03,6.257161630539131991e-03,6.439576967725790801e-03,1.035146574386458518e-02,9.520694126186501904e-03,1.404246661833463694e-02,1.376958370958214495e-02,0.000000000000000000e+00,2.340228516311715357e-02,9.724643049094261471e-03,9.032280062337805226e-03,1.224963754930785687e-02,8.701629894875440030e-03,1.230483385128167129e-02,1.013441462003950022e-02,8.490103117186675874e-03,1.560124964243814194e-02,6.896788639250583941e-03,8.866999391456187318e-03,9.339284388744761856e-03,1.505708083838042111e-02,1.293722343639092109e-02,1.162710407373768184e-02,1.226744068829954681e-02,8.932861112267653780e-03,8.633286918396043674e-03,1.131467425594401277e-02,2.104497730926535581e-02,4.761085775114881624e-02,1.641463003484133765e-02,2.363464625091016291e-02,8.490181968839771720e-03,1.309971125223574617e-02,1.788199048495375809e-02,1.352525682845617805e-02,1.543084556808904662e-02,1.308474463723163783e-02,1.892205338974184414e-02,8.914852394275596392e-02
3.950186243622744175e-02,2.024567392359366558e-02,3.703092986949396703e-02,3.427528743380447995e-02,2.639673873124448455e-02,2.670414340628091132e-02,2.636496535899368610e-02,2.801744452880672309e-02,3.973940618696936156e-02,3.875154551662296498e-02,4.546845233985219448e-02,1.712136112312290237e-02,2.340228516311715357e-02,4.884981308350688778e-15,1.767152368666036200e-02,2.016565859912911041e-02,1.253404737073426922e-02,3.603725606714536234e-02,1.538627967686079234e-02,2.212208192130793449e-02,3.279553173320237658e-02,1.327798130050283909e-02,3.352618874560220341e-02,2.586053462819604132e-02,1.710505263485262439e-02,1.378047234882906480e-02,3.105869059672217158e-02,2.213326234884827048e-02,2.417930336011542281e-02,2.392494547583079445e-02,2.355333716376206699e-02,2.288865235171189116e-02,2.109275703047053252e-02,3.184760274557085769e-02,2.472981423270725898e-02,1.550068165473639237e-02,1.900105711092159311e-02,1.743006009474556972e-02,2.607673573120872224e-02,2.248863650256094360e-02,1.618932685615481759e-02,1.413035940516893518e-02,2.441848321083717188e-02,5.620745907799795660e-02
1.507718759211595927e-02,7.880483181071373799e-03,1.569134198135446745e-02,1.379364313403952380e-02,8.861241320715973480e-03,1.066934602856883796e-02,1.086400840065460116e-02,8.853903786276151600e-03,1.551751764890585417e-02,1.633875141946350418e-02,1.957747838076040470e-02,1.123815705563890877e-02,9.724643049094261471e-03,1.767152368666036200e-02,3.330669073875469621e-15,8.567448953134770839e-03,1.098425533802083187e-02,1.482298383250946205e-02,1.065583694839200568e-02,9.171624072502271297e-03,1.287746947824486288e-02,1.490045317731603092e-02,1.286852662698734218e-02,1.074071834868561837e-02,1.130896974592365822e-02,1.372258222534694649e-02,1.586560786711121995e-02,1.323189859931095391e-02,1.448032099532681194e-02,9.285214609838110533e-03,9.604312748313970083e-03,4.848204430408342702e-03,1.809849208171776525e-02,3.933413329854718032e-02,1.234092679617848631e-02,1.700510765996043894e-02,8.734929894171017395e-03,9.796899292836225293e-03,1.713046762140169044e-02,1.279550872597290390e-02,1.178686988171362415e-02,9.041328994075836789e-03,1.654632184568005648e-02,7.808741045631861777e-02
1.367504718462253521e-02,8.539487090696740168e-03,1.576550249598818176e-02,1.385047990450904987e-02,8.386325643428116372e-03,7.674455420084047574e-03,1.171648981703876657e-02,8.065311004541442230e-03,1.470728518178043842e-02,1.520299682412384890e-02,1.747081410276840607e-02,1.064778748572814404e-02,9.032280062337805226e-03,2.016565859912911041e-02,8.567448953134770839e-03,8.881784197001252323e-16,1.205820862320094999e-02,1.608040156476131521e-02,1.425400381678276762e-02,9.416410157865207076e-03,1.095240362348737229e-02,1.464322647876037387e-02,1.410450582911337847e-02,1.349451754161423711e-02,1.134954914853902874e-02,1.392585404811885752e-02,1.861368359651427440e-02,1.676774386951096485e-02,1.580464558798910790e-02,1.005828340057546288e-02,1.146503465884385342e-02,8.510404964159445917e-03,2.261305364098231685e-02,4.478175518044724690e-02,1.856513947214499805e-02,2.009411851567666218e-02,1.015519215943250231e-02,1.273189455524204039e-02,2.136815159072524839e-02,1.465228046805644446e-02,1.406541398793226261e-02,1.254062532483923853e-02,2.151526383945390197e-02,8.523915423152816917e-02
2.426513055715440181e-02,1.115227806393281895e-02,2.255267602150590189e-02,1.896553342100948392e-02,1.484124695290467422e-02,1.537617850330119662e-02,1.502658433411840910e-02,1.556904892052524136e-02,2.441944485644997886e-02,2.363406966038594792e-02,2.993724049247759034e-02,1.127587261493034898e-02,1.224963754930785687e-02,1.253404737073426922e-02,1.098425533802083187e-02,1.205820862320094999e-02,2.442490654175344389e-15,2.222215716401898522e-02,9.653954340035797443e-03,1.151935252742941618e-02,1.951224867245449079e-02,1.117054483440671486e-02,1.985771826331783618e-02,1.627294387560795919e-02,1.137201959995992606e-02,1.122418802770897006e-02,2.054482879718766419e-02,1.417778276743297816e-02,1.594489707111557131e-02,1.383016310843376839e-02,1.204777588744554429e-02,1.448861907824794404e-02,1.679187802467285717e-02,3.706561901692273509e-02,1.906833103160399112e-02,1.499375279508374792e-02,7.007893140962173639e-03,1.156909577905718134e-02,1.968178139839538154e-02,1.638023353535456028e-02,1.149150593025050071e-02,8.223191162686771527e-03,1.987121249621992547e-02,7.121958912015524668e-02
7.210367498478031933e-03,1.150274631824410587e-02,6.338026112102213006e-03,6.477888027323408515e-03,1.027143934242946699e-02,1.359560652975100314e-02,5.568633599357886155e-03,9.422022670229734942e-03,7.989294046633621527e-03,7.091645679955349557e-03,1.107704955491328747e-02,2.247547414488626494e-02,8.701629894875440030e-03,3.603725606714536234e-02,1.482298383250946205e-02,1.608040156476131521e-02,2.222215716401898522e-02,0.000000000000000000e+00,2.031658523569945807e-02,1.525972867138924993e-02,9.233585261589016824e-03,2.690105233520334593e-02,3.544114761830252647e-03,8.554722962968552835e-03,1.720392426063199753e-02,2.557546697089074783e-02,1.081931774316191586e-02,1.278258831488654490e-02,1.357248611928263404e-02,1.306992165573317433e-02,1.264419822733908738e-02,1.535676966306454005e-02,2.530597780064247626e-02,5.545182513227286947e-02,1.846026528063138272e-02,3.189992744306380246e-02,1.394432775236531530e-02,1.890016075337974666e-02,1.808833285209798802e-02,1.541597590855492417e-02,2.275972697794748090e-02,2.139364672112176180e-02,2.135508840628597138e-02,1.044250316926574884e-01
2.378004171202663386e-02,1.206567102311184581e-02,2.105907901199821630e-02,1.842007470647721856e-02,1.557215232409780992e-02,1.714043951989618897e-02,1.374325133297915613e-02,1.610859142201137573e-02,2.346978607002381256e-02,2.247758114386355643e-02,2.926790325723593877e-02,1.444347739065576786e-02,1.230483385128167129e-02,1.538627967686079234e-02,1.065583694839200568e-02,1.425400381678276762e-02,9.653954340035797443e-03,2.031658523569945807e-02,3.330669073875469621e-15,1.179476225999465111e-02,1.981036734202390459e-02,1.425486599946712563e-02,1.789229659216562407e-02,1.417795716249314886e-02,1.188581411053402093e-02,1.331338813904925367e-02,1.662029203733528249e-02,1.260491222332882355e-02,1.453588846499909160e-02,1.378546637018585042e-02,1.097579923682479031e-02,1.468837975476433577e-02,1.385837451829941003e-02,3.200174860489191087e-02,1.383882553053539244e-02,1.518219115635199845e-02,1.001042864207357663e-02,9.091020890394041487e-03,1.418682917327940274e-02,1.309641847343523402e-02,1.211304909197286062e-02,8.640455961910320504e-03,1.448962408749721043e-02,7.063689850403165327e-02
1.437312781608068857e-02,1.044694342395435793e-02,1.463862073435029387e-02,1.173390966266407709e-02,9.435327710007657132e-03,1.146295864705104695e-02,1.103651504017832963e-02,9.775437188378588438e-03,1.429229354305650013e-02,1.486967491495361227e-02,1.782109161538369957e-02,1.241275832541710589e-02,1.013441462003950022e-02,2.212208192130793449e-02,9.171624072502271297e-03,9.416410157865207076e-03,1.151935252742941618e-02,1.525972867138924993e-02,1.179476225999465111e-02,5.551115123125782702e-16,1.356630811281889226e-02,1.889059730604603082e-02,1.240056396037647612e-02,1.172592085651236182e-02,1.293821852369558822e-02,1.780488781018685351e-02,1.637567830631792010e-02,1.579092543716043018e-02,1.604254831365603540e-02,9.400439849639008472e-03,6.574884099581734809e-03,1.004670266842244697e-02,1.918342568648101487e-02,4.199303577648672015e-02,1.780849872349066221e-02,2.026660540561930901e-02,7.432419857020922116e-03,9.808383632117445572e-03,1.849728013107654334e-02,1.549769979613135895e-02,1.317775718898395176e-02,1.164077424320486553e-02,1.866941387547205178e-02,8.602908597589820072e-02
